station_left_bank_ft,elevation_ngvd29_ft
222.8,353.1
202,353.27
187,348.78
177,345.42
174,344.75
168,343.61
161,343.47
156,343.35
149,343.26
140.8,343.16
130,341.49
126,340.56
123.7,340.29
116,340.89
105.2,340.18
101,340.03
100,339.78
99,339.39
98,339.91
97.5,340.14
94.5,340.47
94,341.37
89.3,342.43
84.9,344.32
84.3,344.4
73,343.41
66,343.96
52.6,344.14
41.5,344.73
33.7,346.9
23,350.23
16.4,352.44
