station_left_bank_ft,elevation_ngvd29_ft
-33,360.38
-9,359.19
0,358.92
15,358.82
27,358.35
32,356.72
36,355.55
39,354.64
42,353.5
44,353.08
47,352.92
52,353.09
57,353.28
62,353.21
67,353.03
71,352.66
73,351.75
75,349.4
77,346.83
78,346.2
79,343.6
82,343.2
85,343.2
86,344.6
86.5,346.1
88,346.9
89,348.35
93,350.26
97,352.51
104,352.79
109,352.9
113,352.91
115,353.63
116,353.45
119,352.71
120,352.69
123,352.91
126,353.19
130,355.06
135,356.69
140,358.59
144,359.69
147,359.95
