,time,ndvi
0,1984-05-18 18:13:47.194000000,0.3647944334521072
1,1984-06-03 18:14:10.438000000,0.2676396043393136
2,1984-07-05 18:14:37.630000000,0.22480914224899837
3,1984-09-07 18:16:09.720000000,0.21960594176038345
4,1984-09-23 18:16:11.544000000,0.21602698081394464
5,1984-10-25 18:16:05.955000000,0.21917198264023302
6,1985-04-03 18:16:26.135000000,0.4959000930715222
7,1985-04-19 18:16:20.940000000,0.5307641065215642
8,1985-05-05 18:16:12.968000000,0.4510979914526297
9,1985-05-21 18:16:11.740000000,0.3620620339880453
10,1985-07-24 18:15:56.102000000,0.22979000521369586
11,1985-10-12 18:15:03.953000000,0.19512250976495882
12,1985-10-28 18:14:51.889000000,0.19368117039504973
13,1986-02-01 18:13:04.802000000,0.48700012447987134
14,1986-03-21 18:12:01.701000000,0.5341346812098605
15,1986-05-08 18:10:55.518000000,0.5144794940536135
16,1986-05-24 18:10:28.979000000,0.3403812011437783
17,1986-06-09 18:10:00.086000000,0.28054157120642087
18,1986-06-25 18:09:29.447000000,0.23104057572793382
19,1986-07-11 18:08:57.372000000,0.2205100360128171
20,1986-08-12 18:07:49.090000000,0.2094654186116532
21,1986-08-28 18:07:12.819000000,0.19783534118259852
22,1986-09-13 18:06:40.394000000,0.1934648368875533
23,1986-09-29 18:06:10.585000000,0.17984635752755634
24,1986-10-15 18:05:39.201000000,0.16587716353225468
25,1986-10-31 18:05:05.539000000,0.17973431937530363
26,1987-01-19 18:05:54.717000000,0.20161874045995912
27,1987-02-04 18:06:27.125000000,0.29096022302723096
28,1987-02-20 18:07:05.225000000,0.3746154317672392
29,1987-04-09 18:08:50.194000000,0.5758480666280156
30,1987-05-11 18:09:47.748000000,0.3450495958633907
31,1987-06-12 18:10:35.182000000,0.23826599746017066
32,1987-07-14 18:11:13.977000000,0.2111770274323159
33,1987-07-30 18:11:39.145000000,0.22125475789881702
34,1987-08-15 18:12:08.106000000,0.2099556814379406
35,1987-08-31 18:12:34.272000000,0.18646269212378275
36,1987-09-16 18:12:57.645000000,0.18528004374596685
37,1987-10-02 18:13:18.249000000,0.18196627527099532
38,1987-10-18 18:13:35.355000000,0.17505500668865662
39,1988-03-26 18:16:06.192000000,0.49746355652558055
40,1988-04-11 18:16:10.615000064,0.38649347396241635
41,1988-05-13 18:16:26.614000000,0.27033076002931966
42,1988-06-30 18:16:43.987000064,0.18885117980494548
43,1988-07-16 18:16:47.028999936,0.17621545980322392
44,1988-08-01 18:16:49.072000000,0.17440384664841693
45,1988-09-02 18:16:52.070000000,0.1646518726663368
46,1988-10-20 18:16:36.683000064,0.17454761051805925
47,1988-11-05 18:16:41.827000064,0.18563976231041135
48,1988-12-07 18:16:32.232999936,0.30300064140922106
49,1989-01-24 18:16:01.212999936,0.45088539988628806
50,1989-05-16 18:14:33.114000000,0.24332624976845732
51,1989-06-01 18:14:21.204000000,0.21889817303595627
52,1989-06-17 18:13:55.088999936,0.208433383881065
53,1989-07-03 18:13:42.062000000,0.19527034116840586
54,1989-07-19 18:13:21.383000064,0.17606350359602435
55,1989-08-04 18:13:02.104999936,0.16473149953738475
56,1989-09-05 18:12:19.312999936,0.17588086074631215
57,1989-09-21 18:11:47.775000064,0.16790883075709437
58,1989-10-07 18:11:36.946000000,0.20338772233012775
59,1989-11-08 18:10:35.644999936,0.27812486954125226
60,1989-12-10 18:09:39.986000000,0.4399222641890513
61,1990-01-27 18:08:09.672000000,0.4789325332204555
62,1990-02-12 18:07:39.579000064,0.4987644844467545
63,1990-05-03 18:06:11.283000064,0.2870127409603883
64,1990-06-04 18:06:15.452000000,0.22331430791287923
65,1990-06-20 18:06:14.262000000,0.22378515563121276
66,1990-08-07 18:06:04.232999936,0.1921505996235411
67,1990-08-23 18:05:58.392999936,0.18722630452308586
68,1990-09-08 18:05:54.224000000,0.1954414143136978
69,1990-10-10 18:05:41.000999936,0.18332449852866234
70,1990-10-26 18:05:34.999000064,0.18377394990430682
71,1991-04-04 18:07:44.386000000,0.6150807118290058
72,1991-05-06 18:08:23.499000064,0.5243752412345338
73,1991-06-07 18:08:52.234000000,0.25457927642839123
74,1991-07-25 18:09:31.964000000,0.21744385828439616
75,1991-08-10 18:09:35.744999936,0.21678513524579246
76,1991-09-27 18:10:00.680999936,0.19169413144533576
77,1991-10-13 18:10:11.648999936,0.18905180981832653
78,1991-11-14 18:10:16.334000000,0.34014575913505246
79,1991-11-30 18:10:29.076000000,0.3950058249117795
80,1992-01-01 18:10:21.136999936,0.28637786367091356
81,1992-04-06 18:10:05.524000000,0.628474039427843
82,1992-04-22 18:09:57.210000000,0.5418995405000399
83,1992-05-08 18:09:48.904000000,0.34855127537189257
84,1992-05-24 18:09:40.192000000,0.24591769737798316
85,1992-06-09 18:09:31.100000000,0.2353616409396605
86,1992-09-13 18:08:12.100000000,0.17808821876585834
87,1992-10-15 18:07:34.122000000,0.16342047385448757
88,1992-12-18 18:07:25.103000064,0.28433749344217857
89,1993-01-03 18:07:34.540999936,0.32151425003915984
90,1993-02-04 18:07:56.348000000,0.36796048594047537
91,1993-03-08 18:08:13.179000064,0.2122785625320749
92,1993-06-12 18:08:36.078000000,0.35677087497419807
93,1993-06-28 18:08:30.347000064,0.3040747215439701
94,1993-07-14 18:08:29.122000000,0.27346388380282377
95,1993-07-30 18:08:28.120999936,0.2621458752529735
96,1993-09-16 18:08:24.004999936,0.23047787562007538
97,1993-10-18 18:08:14.370000000,0.20723520365938752
98,1993-11-03 18:08:08.738000000,0.17826342693063477
