ID,Station (ft),Velocity 'Max' (feet/sec)
323,224.905,12.02
324,225.756,12.069
325,226.081,12.087
326,226.602,12.143
327,227.416,12.231
328,228.173,12.313
329,228.881,12.389
330,229.001,12.402
331,229.598,12.467
332,230.368,12.55
333,231.184,12.61
334,232.013,12.653
335,232.845,12.696
336,233.689,12.74
337,234.554,12.785
338,235.291,12.824
339,235.437,12.826
340,235.883,12.835
341,236.329,12.845
342,236.778,12.855
343,237.227,12.865
344,238.124,12.889
345,239.022,12.916
346,239.918,12.899
347,240.808,12.638
348,241.688,12.418
349,242.562,12.24
350,243.436,12.103
351,244.281,12.01
352,244.318,12.033
353,245.215,12.564
354,246.125,13.135
355,247.044,13.755
356,247.967,14.417
357,248.89,14.734
358,249.35,14.601
359,249.81,14.477
360,250.27,14.362
361,250.73,14.256
362,251.652,14.089
363,252.571,13.986
364,252.796,13.973
365,253.479,13.915
366,254.372,13.875
367,255.256,13.87
368,256.135,13.889
369,257.003,13.917
370,257.429,13.931
371,257.856,13.878
372,258.278,13.715
373,258.7,13.594
374,259.534,13.366
375,260.36,13.153
376,261.175,12.945
377,261.983,12.731
378,262.22,12.669
379,262.787,12.746
380,263.591,12.858
381,264.393,12.97
382,265.191,13.143
383,265.986,13.476
384,266.784,13.819
385,267.599,14.169
386,267.762,14.234
387,268.469,14.366
388,269.454,14.408
389,270.554,14.679
390,271.645,15.312
391,272.591,15.785
392,273.38,15.888
393,274.102,15.941
394,274.134,15.945
395,274.831,16.414
396,275.577,16.922
397,276.344,17.104
398,277.147,16.699
399,277.989,16.014
400,278.856,15.596
401,279.734,15.505
402,280.615,15.779
403,281.492,16.145
404,282.377,16.35
405,283.327,16.593
406,283.833,16.794
407,284.431,17.222
408,285.55,18.016
409,285.676,18.134
410,286.907,19.09
411,287.983,19.967
412,288.913,21.016
413,289.777,22.172
414,290.625,22.695
415,291.221,22.236
416,291.472,22.001
417,292.159,21.224
418,292.32,21.025
419,293.16,19.949
420,293.986,18.911
421,294.805,18.036
422,295.153,17.728
423,295.629,17.337
424,296.464,16.703
425,296.886,16.397
426,297.309,16.086
427,297.732,15.792
428,298.155,15.486
429,298.181,15.467
430,298.576,15.516
431,298.997,15.503
432,299.414,15.637
433,299.832,15.706
434,300.655,15.86
435,301.472,16.034
436,302.288,16.23
437,303.107,16.191
438,303.918,16.076
439,304.706,16.01
440,305.45,15.989
441,306.133,16.007
442,306.772,16.056
443,306.798,16.058
444,307.418,16.194
445,308.122,16.372
446,308.898,16.586
447,309.728,16.821
448,310.583,16.977
449,311.446,17.049
450,312.314,17.165
451,313.192,17.318
452,313.696,17.423
453,314.079,17.537
454,314.966,17.542
455,315.843,17.122
456,316.709,16.763
457,317.569,16.692
458,318.429,16.527
459,319.297,16.291
460,319.877,16.084
461,320.176,15.993
462,321.063,15.726
463,321.948,15.652
464,322.384,15.551
465,322.82,15.442
466,323.676,15.202
467,324.525,14.97
468,324.951,14.856
469,325.151,14.804
470,325.377,14.754
471,325.804,14.654
472,326.231,14.557
473,327.068,14.372
474,327.86,14.206
475,328.605,14.059
476,329.327,13.952
477,329.689,13.927
478,330.052,13.904
479,330.42,13.884
480,330.789,13.863
481,331.544,13.822
482,332.236,13.775
483,332.323,13.792
484,333.129,13.789
485,333.944,13.684
486,334.751,13.271
487,335.548,12.691
488,336.074,12.512
489,336.341,12.49
490,337.133,12.423
491,337.922,12.359
492,338.709,12.299
493,339.496,12.249
494,340.298,12.214
495,341.127,12.173
496,341.982,12.129
497,342.415,12.107
498,342.847,12.085
499,343.095,12.073
500,343.712,12.074
501,344.567,12.076
502,344.987,12.111
503,345.407,12.12
504,346.235,12.136
505,347.06,12.153
506,347.89,12.143
507,348.729,12.091
508,349.573,12.056
509,350.412,12.037
510,351.222,12.035
511,351.984,12.048
512,352.108,12.051
513,352.35,12.054
514,352.715,12.056
515,353.469,12.079
516,354.292,12.106
517,355.181,12.145
518,356.099,12.194
519,357.015,12.238
520,357.919,12.275
521,358.82,12.318
522,359.725,12.368
523,360.638,12.425
524,361.079,12.455
525,361.554,12.469
526,362.462,12.499
527,363.359,12.535
528,364.247,12.552
529,364.688,12.665
530,365.129,12.772
531,366.002,12.993
532,366.431,13.103
533,366.861,13.182
534,367.284,13.326
535,367.707,13.438
536,368.553,13.797
537,369.401,13.938
538,370.25,14.018
539,371.094,14.291
540,371.918,14.321
541,372.7,14.123
542,372.76,14.099
543,373.431,13.958
544,374.128,13.824
545,374.83,13.7
546,375.568,13.579
547,376.345,13.561
548,377.147,13.637
549,377.952,13.707
550,378.758,13.786
551,379.044,13.813
552,379.166,13.857
553,379.574,14.006
554,380.406,14.312
555,381.249,14.627
556,382.097,14.986
557,382.946,15.452
558,383.797,15.945
559,384.656,16.42
560,384.699,16.442
561,385.53,16.522
562,386.422,16.29
563,387.326,16.008
564,388.236,15.752
565,389.147,15.729
566,390.057,15.926
567,390.966,16.24
568,391.233,16.339
569,391.874,16.789
570,392.781,17.488
571,393.236,17.888
572,393.691,17.772
573,394.602,16.969
574,395.509,16.191
575,395.56,16.148
576,396.405,14.986
577,397.286,13.556
578,398.155,12.807
579,399.025,12.423
580,399.619,12.273
581,399.904,12.221
582,400.788,12.044
583,401.667,11.882
584,402.536,11.759
585,403.4,11.696
586,404.273,11.647
587,405.184,11.616
588,406.057,11.605
589,406.17,11.61
590,407.236,11.657
591,408.326,11.714
592,409.375,11.677
593,410.365,11.76
594,411.318,11.862
595,412.248,11.849
596,413.154,11.931
597,414.036,11.968
598,414.566,12.005
599,414.908,12.059
600,415.346,12.039
601,415.586,12.003
602,415.785,12.013
603,416.667,12.072
604,417.551,12.162
605,418.432,12.28
606,419.304,12.425
607,419.729,12.505
608,420.166,12.528
609,421.023,12.555
610,421.885,12.592
611,422.753,12.634
612,423.623,12.671
613,423.964,12.685
614,424.493,12.697
615,425.362,12.712
616,426.229,12.725
617,427.084,12.785
618,427.926,12.751
619,428.76,12.767
620,429.603,12.798
621,430.032,12.827
622,430.461,12.833
623,430.632,12.835
624,431.323,12.862
625,432.174,12.813
626,433.005,12.795
627,433.825,12.86
628,434.435,12.707
629,434.653,12.626
630,435.497,12.316
631,436.353,12.003
632,437.214,11.669
633,438.074,11.417
634,438.504,11.347
635,438.935,11.302
636,439.792,11.186
637,440.641,11.078
638,441.294,10.999
639,441.481,11.017
640,442.324,11.087
641,443.179,11.14
642,444.036,11.19
643,444.871,11.259
644,445.67,11.36
645,446.441,11.478
646,447.201,11.564
647,447.977,11.59
648,448.785,11.638
649,449.618,11.671
650,450.464,11.691
651,450.937,11.697
652,451.311,11.666
653,452.158,11.603
654,453.004,11.535
655,453.85,11.461
656,454.693,11.386
657,455.539,11.293
658,456.396,11.217
659,457.266,11.155
660,457.668,11.132
661,458.134,11.123
662,458.976,11.031
663,459.776,10.881
664,460.546,10.934
665,461.313,11.061
666,461.622,11.122
667,462.085,11.216
668,462.85,11.371
669,463.606,11.526
670,464.362,11.52
671,465.131,11.736
672,465.911,11.483
673,466.702,11.227
674,467.502,10.969
675,468.217,10.741
676,468.31,10.697
677,469.118,10.226
678,469.548,10.154
679,469.921,10.131
680,470.317,10.102
681,470.713,10.073
682,471.498,10.013
683,472.28,9.953
684,473.058,9.899
685,473.831,9.856
686,474.602,9.893
687,475.378,9.943
688,476.166,9.997
689,476.966,10.056
690,477.771,10.113
691,478.302,10.156
692,478.588,10.182
693,479.421,10.252
694,480.266,10.331
695,481.118,10.43
696,481.967,10.541
697,482.806,10.657
698,483.637,10.769
699,484.465,10.886
700,485.293,11.017
701,486.121,11.166
702,486.951,11.325
703,487.786,11.462
704,488.631,11.526
705,489.135,11.499
706,489.303,11.505
707,489.483,11.512
708,490.338,11.553
709,491.189,11.604
710,492.033,11.626
711,492.862,11.571
712,493.667,11.519
713,494.437,11.472
714,494.452,11.471
715,495.238,11.421
