OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
132,Point Z,0,6,0,4507.954197,378.998389
133,Point Z,0,6,0,4507.954197,378.998061
134,Point Z,0,6,0,4507.954197,378.997732
135,Point Z,0,6,0,4507.954197,378.997732
136,Point Z,0,6,0,4507.954197,378.997404
137,Point Z,0,6,0,4507.954197,378.997076
138,Point Z,0,6,0,4507.954197,378.996748
139,Point Z,0,6,0,4507.954197,378.996748
140,Point Z,0,6,0,4507.954197,378.99642
141,Point Z,0,6,0,4507.954197,378.996092
142,Point Z,0,6,0,4507.954197,378.996092
143,Point Z,0,6,0,4507.954197,378.995764
144,Point Z,0,6,0,4507.954197,378.995436
145,Point Z,0,6,0,4507.954197,378.995108
146,Point Z,0,6,0,4507.954197,378.909478
147,Point Z,0,6,0,4507.954197,378.362563
148,Point Z,0,6,0,4507.954197,377.904559
149,Point Z,0,6,0,4507.954197,377.903903
150,Point Z,0,6,0,4507.954197,377.902918
151,Point Z,0,6,0,4507.954197,377.902262
152,Point Z,0,6,0,4507.954197,377.901606
153,Point Z,0,6,0,4507.954197,377.900622
154,Point Z,0,6,0,4507.954197,377.899966
155,Point Z,0,6,0,4507.954197,377.899309
156,Point Z,0,6,0,4507.954197,377.898325
157,Point Z,0,6,0,4507.954197,377.897669
158,Point Z,0,6,0,4507.954197,377.897013
159,Point Z,0,6,0,4507.954197,377.896357
160,Point Z,0,6,0,4507.954197,377.895372
161,Point Z,0,6,0,4507.954197,377.894716
162,Point Z,0,6,0,4507.954197,377.89406
163,Point Z,0,6,0,4507.954197,377.893404
164,Point Z,0,6,0,4507.954197,377.89242
165,Point Z,0,6,0,4507.954197,377.891764
166,Point Z,0,6,0,4507.954197,377.891107
167,Point Z,0,6,0,4507.954197,377.890451
168,Point Z,0,6,0,4507.954197,377.889467
169,Point Z,0,6,0,4507.954197,377.888811
170,Point Z,0,6,0,4507.954197,377.888155
171,Point Z,0,6,0,4507.954197,377.887498
172,Point Z,0,6,0,4507.954197,377.886514
173,Point Z,0,6,0,4507.954197,377.885858
174,Point Z,0,6,0,4507.954197,377.885202
175,Point Z,0,6,0,4507.954197,377.884218
176,Point Z,0,6,0,4507.954197,377.883561
177,Point Z,0,6,0,4507.954197,377.882905
178,Point Z,0,6,0,4507.954197,377.881921
179,Point Z,0,6,0,4507.954197,377.881265
180,Point Z,0,6,0,4507.954197,377.880609
181,Point Z,0,6,0,4507.954197,377.879624
182,Point Z,0,6,0,4507.954197,377.878968
183,Point Z,0,6,0,4507.954197,377.878312
184,Point Z,0,6,0,4507.954197,377.741501
185,Point Z,0,6,0,4507.954197,376.98855
186,Point Z,0,6,0,4507.954197,376.796949
187,Point Z,0,6,0,4507.954197,376.796621
188,Point Z,0,6,0,4507.954197,376.796293
189,Point Z,0,6,0,4507.954197,376.795965
190,Point Z,0,6,0,4507.954197,376.795637
191,Point Z,0,6,0,4507.954197,376.795309
192,Point Z,0,6,0,4507.954197,376.794981
193,Point Z,0,6,0,4507.954197,376.794653
194,Point Z,0,6,0,4507.954197,376.794325
195,Point Z,0,6,0,4507.954197,376.793669
196,Point Z,0,6,0,4507.954197,376.793341
197,Point Z,0,6,0,4507.954197,376.793012
198,Point Z,0,6,0,4507.954197,376.792684
199,Point Z,0,6,0,4507.954197,376.792356
200,Point Z,0,6,0,4507.954197,376.792028
201,Point Z,0,6,0,4507.954197,376.7917
202,Point Z,0,6,0,4507.954197,376.791372
203,Point Z,0,6,0,4507.954197,376.791044
204,Point Z,0,6,0,4507.954197,376.790716
205,Point Z,0,6,0,4507.954197,376.790388
206,Point Z,0,6,0,4507.954197,376.789732
207,Point Z,0,6,0,4507.954197,376.789404
208,Point Z,0,6,0,4507.954197,376.789075
209,Point Z,0,6,0,4507.954197,376.788747
210,Point Z,0,6,0,4507.954197,376.788419
211,Point Z,0,6,0,4507.954197,376.788091
212,Point Z,0,6,0,4507.954197,376.787763
213,Point Z,0,6,0,4507.954197,376.787435
214,Point Z,0,6,0,4507.954197,376.787107
215,Point Z,0,6,0,4507.954197,376.786451
216,Point Z,0,6,0,4507.954197,376.786123
217,Point Z,0,6,0,4507.954197,376.785795
218,Point Z,0,6,0,4507.954197,376.785467
219,Point Z,0,6,0,4507.954197,376.785138
220,Point Z,0,6,0,4507.954197,376.78481
221,Point Z,0,6,0,4507.954197,376.784482
222,Point Z,0,6,0,4507.954197,376.783826
223,Point Z,0,6,0,4507.954197,376.783498
224,Point Z,0,6,0,4507.954197,376.78317
225,Point Z,0,6,0,4507.954197,376.782842
226,Point Z,0,6,0,4507.954197,376.782514
227,Point Z,0,6,0,4507.954197,376.782186
228,Point Z,0,6,0,4507.954197,376.781858
229,Point Z,0,6,0,4507.954197,376.78153
230,Point Z,0,6,0,4507.954197,376.781201
231,Point Z,0,6,0,4507.954197,376.425559
232,Point Z,0,6,0,4507.954197,375.864209
233,Point Z,0,6,0,4507.954197,375.86388
234,Point Z,0,6,0,4507.954197,375.863552
235,Point Z,0,6,0,4507.954197,375.863552
236,Point Z,0,6,0,4507.954197,375.863224
237,Point Z,0,6,0,4507.954197,375.862896
238,Point Z,0,6,0,4507.954197,375.862568
239,Point Z,0,6,0,4507.954197,375.862568
240,Point Z,0,6,0,4507.954197,375.86224
241,Point Z,0,6,0,4507.954197,375.861912
242,Point Z,0,6,0,4507.954197,375.861584
243,Point Z,0,6,0,4507.954197,375.861256
244,Point Z,0,6,0,4507.954197,375.861256
245,Point Z,0,6,0,4507.954197,375.860928
246,Point Z,0,6,0,4507.954197,375.8606
247,Point Z,0,6,0,4507.954197,375.860272
248,Point Z,0,6,0,4507.954197,375.859943
249,Point Z,0,6,0,4507.954197,375.859615
250,Point Z,0,6,0,4507.954197,375.859287
251,Point Z,0,6,0,4507.954197,375.858959
252,Point Z,0,6,0,4507.954197,375.858631
253,Point Z,0,6,0,4507.954197,375.858303
254,Point Z,0,6,0,4507.954197,375.858303
255,Point Z,0,6,0,4507.954197,375.857975
256,Point Z,0,6,0,4507.954197,375.857647
257,Point Z,0,6,0,4507.954197,375.857319
258,Point Z,0,6,0,4507.954197,375.856991
259,Point Z,0,6,0,4507.954197,375.696558
260,Point Z,0,6,0,4507.954197,375.005614
261,Point Z,0,6,0,4507.954197,375.005286
262,Point Z,0,6,0,4507.954197,375.005286
263,Point Z,0,6,0,4507.954197,375.004958
264,Point Z,0,6,0,4507.954197,375.00463
265,Point Z,0,6,0,4507.954197,375.004302
266,Point Z,0,6,0,4507.954197,375.003974
267,Point Z,0,6,0,4507.954197,375.003646
268,Point Z,0,6,0,4507.954197,375.003318
269,Point Z,0,6,0,4507.954197,375.002662
270,Point Z,0,6,0,4507.954197,375.002334
271,Point Z,0,6,0,4507.954197,375.002006
272,Point Z,0,6,0,4507.954197,375.001349
273,Point Z,0,6,0,4507.954197,375.001021
274,Point Z,0,6,0,4507.954197,375.000365
275,Point Z,0,6,0,4507.954197,375.000037
276,Point Z,0,6,0,4507.954197,374.999381
277,Point Z,0,6,0,4507.954197,374.999053
278,Point Z,0,6,0,4507.954197,374.998397
279,Point Z,0,6,0,4507.954197,374.998069
280,Point Z,0,6,0,4507.954197,374.99774
281,Point Z,0,6,0,4507.954197,374.997412
282,Point Z,0,6,0,4507.954197,374.997084
283,Point Z,0,6,0,4507.954197,374.996756
284,Point Z,0,6,0,4507.954197,374.996428
285,Point Z,0,6,0,4507.954197,374.9961
286,Point Z,0,6,0,4507.954197,374.995772
287,Point Z,0,6,0,4507.954197,374.995444
288,Point Z,0,6,0,4507.954197,374.995116
289,Point Z,0,6,0,4507.954197,374.99446
290,Point Z,0,6,0,4507.954197,374.994132
291,Point Z,0,6,0,4507.954197,374.993475
292,Point Z,0,6,0,4507.954197,374.992819
293,Point Z,0,6,0,4507.954197,374.992163
294,Point Z,0,6,0,4507.954197,374.991507
295,Point Z,0,6,0,4507.954197,374.990851
296,Point Z,0,6,0,4507.954197,374.990523
297,Point Z,0,6,0,4507.954197,374.989866
298,Point Z,0,6,0,4507.954197,374.98921
299,Point Z,0,6,0,4507.954197,374.988554
300,Point Z,0,6,0,4507.954197,374.987898
301,Point Z,0,6,0,4507.954197,374.98757
302,Point Z,0,6,0,4507.954197,374.986914
303,Point Z,0,6,0,4507.954197,374.986258
304,Point Z,0,6,0,4507.954197,374.985601
305,Point Z,0,6,0,4507.954197,374.984945
306,Point Z,0,6,0,4507.954197,374.983961
307,Point Z,0,6,0,4507.954197,374.983305
308,Point Z,0,6,0,4507.954197,374.982649
309,Point Z,0,6,0,4507.954197,374.949512
310,Point Z,0,6,0,4507.954197,374.096824
311,Point Z,0,6,0,4507.954197,374.069265
312,Point Z,0,6,0,4507.954197,374.068608
313,Point Z,0,6,0,4507.954197,374.067952
314,Point Z,0,6,0,4507.954197,374.067296
315,Point Z,0,6,0,4507.954197,374.06664
316,Point Z,0,6,0,4507.954197,374.065656
317,Point Z,0,6,0,4507.954197,374.065
318,Point Z,0,6,0,4507.954197,374.064343
319,Point Z,0,6,0,4507.954197,374.063687
320,Point Z,0,6,0,4507.954197,374.062703
321,Point Z,0,6,0,4507.954197,374.061719
322,Point Z,0,6,0,4507.954197,374.060734
323,Point Z,0,6,0,4507.954197,374.059422
324,Point Z,0,6,0,4507.954197,374.05811
325,Point Z,0,6,0,4507.954197,374.056797
326,Point Z,0,6,0,4507.954197,374.055157
327,Point Z,0,6,0,4507.954197,374.053517
328,Point Z,0,6,0,4507.954197,374.052204
329,Point Z,0,6,0,4507.954197,374.050564
330,Point Z,0,6,0,4507.954197,374.048923
331,Point Z,0,6,0,4507.954197,374.047283
332,Point Z,0,6,0,4507.954197,374.045643
333,Point Z,0,6,0,4507.954197,374.044002
334,Point Z,0,6,0,4507.954197,374.042362
335,Point Z,0,6,0,4507.954197,374.040721
336,Point Z,0,6,0,4507.954197,374.038753
337,Point Z,0,6,0,4507.954197,374.036784
338,Point Z,0,6,0,4507.954197,374.034816
339,Point Z,0,6,0,4507.954197,374.032519
340,Point Z,0,6,0,4507.954197,374.030551
341,Point Z,0,6,0,4507.954197,374.028254
342,Point Z,0,6,0,4507.954197,374.026286
343,Point Z,0,6,0,4507.954197,374.023989
344,Point Z,0,6,0,4507.954197,374.021692
345,Point Z,0,6,0,4507.954197,374.019396
346,Point Z,0,6,0,4507.954197,374.016771
347,Point Z,0,6,0,4507.954197,374.014147
348,Point Z,0,6,0,4507.954197,374.011522
349,Point Z,0,6,0,4507.954197,374.008897
350,Point Z,0,6,0,4507.954197,374.006273
351,Point Z,0,6,0,4507.954197,374.00332
352,Point Z,0,6,0,4507.954197,373.797284
353,Point Z,0,6,0,4507.954197,373.258899
354,Point Z,0,6,0,4507.954197,373.258571
355,Point Z,0,6,0,4507.954197,373.258243
356,Point Z,0,6,0,4507.954197,373.257915
357,Point Z,0,6,0,4507.954197,373.257586
358,Point Z,0,6,0,4507.954197,373.257258
359,Point Z,0,6,0,4507.954197,373.25693
360,Point Z,0,6,0,4507.954197,373.256602
361,Point Z,0,6,0,4507.954197,373.256274
362,Point Z,0,6,0,4507.954197,373.255946
363,Point Z,0,6,0,4507.954197,373.255618
364,Point Z,0,6,0,4507.954197,373.25529
365,Point Z,0,6,0,4507.954197,373.254634
366,Point Z,0,6,0,4507.954197,373.254306
367,Point Z,0,6,0,4507.954197,373.253978
368,Point Z,0,6,0,4507.954197,373.253321
369,Point Z,0,6,0,4507.954197,373.252993
370,Point Z,0,6,0,4507.954197,373.252337
371,Point Z,0,6,0,4507.954197,373.252009
372,Point Z,0,6,0,4507.954197,373.251353
373,Point Z,0,6,0,4507.954197,373.250697
374,Point Z,0,6,0,4507.954197,373.250369
375,Point Z,0,6,0,4507.954197,373.249712
376,Point Z,0,6,0,4507.954197,373.249056
377,Point Z,0,6,0,4507.954197,373.2484
378,Point Z,0,6,0,4507.954197,373.247744
379,Point Z,0,6,0,4507.954197,373.247088
380,Point Z,0,6,0,4507.954197,373.246432
381,Point Z,0,6,0,4507.954197,373.245775
382,Point Z,0,6,0,4507.954197,373.245119
383,Point Z,0,6,0,4507.954197,373.244463
384,Point Z,0,6,0,4507.954197,373.243807
385,Point Z,0,6,0,4507.954197,373.243151
386,Point Z,0,6,0,4507.954197,373.242495
387,Point Z,0,6,0,4507.954197,373.241838
388,Point Z,0,6,0,4507.954197,373.241182
389,Point Z,0,6,0,4507.954197,373.240526
390,Point Z,0,6,0,4507.954197,373.23987
391,Point Z,0,6,0,4507.954197,373.239214
392,Point Z,0,6,0,4507.954197,373.238558
393,Point Z,0,6,0,4507.954197,373.237901
394,Point Z,0,6,0,4507.954197,373.237245
395,Point Z,0,6,0,4507.954197,373.236589
396,Point Z,0,6,0,4507.954197,373.235933
397,Point Z,0,6,0,4507.954197,373.235277
398,Point Z,0,6,0,4507.954197,373.234621
399,Point Z,0,6,0,4507.954197,373.234293
400,Point Z,0,6,0,4507.954197,373.233636
401,Point Z,0,6,0,4507.954197,373.004306
402,Point Z,0,6,0,4507.954197,372.810081
403,Point Z,0,6,0,4507.954197,372.809425
404,Point Z,0,6,0,4507.954197,372.809097
405,Point Z,0,6,0,4507.954197,372.80844
406,Point Z,0,6,0,4507.954197,372.807784
407,Point Z,0,6,0,4507.954197,372.807456
408,Point Z,0,6,0,4507.954197,372.8068
409,Point Z,0,6,0,4507.954197,372.806144
410,Point Z,0,6,0,4507.954197,372.805816
411,Point Z,0,6,0,4507.954197,372.805159
412,Point Z,0,6,0,4507.954197,372.804503
413,Point Z,0,6,0,4507.954197,372.804175
414,Point Z,0,6,0,4507.954197,372.803519
415,Point Z,0,6,0,4507.954197,372.802863
416,Point Z,0,6,0,4507.954197,372.802535
417,Point Z,0,6,0,4507.954197,372.801879
418,Point Z,0,6,0,4507.954197,372.801551
419,Point Z,0,6,0,4507.954197,372.800894
420,Point Z,0,6,0,4507.954197,372.800238
421,Point Z,0,6,0,4507.954197,372.79991
422,Point Z,0,6,0,4507.954197,372.799582
423,Point Z,0,6,0,4507.954197,372.798926
424,Point Z,0,6,0,4507.954197,372.798598
425,Point Z,0,6,0,4507.954197,372.797942
426,Point Z,0,6,0,4507.954197,372.797614
427,Point Z,0,6,0,4507.954197,372.797286
428,Point Z,0,6,0,4507.954197,372.796957
429,Point Z,0,6,0,4507.954197,372.796301
430,Point Z,0,6,0,4507.954197,372.450501
431,Point Z,0,6,0,4507.954197,372.322221
432,Point Z,0,6,0,4507.954197,372.321565
433,Point Z,0,6,0,4507.954197,372.321237
434,Point Z,0,6,0,4507.954197,372.32058
435,Point Z,0,6,0,4507.954197,372.319924
436,Point Z,0,6,0,4507.954197,372.319268
437,Point Z,0,6,0,4507.954197,372.318612
438,Point Z,0,6,0,4507.954197,372.318284
439,Point Z,0,6,0,4507.954197,372.317628
440,Point Z,0,6,0,4507.954197,372.316972
441,Point Z,0,6,0,4507.954197,372.316643
442,Point Z,0,6,0,4507.954197,372.315987
443,Point Z,0,6,0,4507.954197,372.315331
444,Point Z,0,6,0,4507.954197,372.315003
445,Point Z,0,6,0,4507.954197,372.314347
446,Point Z,0,6,0,4507.954197,372.313691
447,Point Z,0,6,0,4507.954197,372.313363
448,Point Z,0,6,0,4507.954197,372.312706
449,Point Z,0,6,0,4507.954197,372.312378
450,Point Z,0,6,0,4507.954197,372.31205
451,Point Z,0,6,0,4507.954197,372.311722
452,Point Z,0,6,0,4507.954197,372.311066
453,Point Z,0,6,0,4507.954197,372.310738
454,Point Z,0,6,0,4507.954197,372.31041
455,Point Z,0,6,0,4507.954197,372.310082
456,Point Z,0,6,0,4507.954197,372.117497
457,Point Z,0,6,0,4507.954197,371.948206
458,Point Z,0,6,0,4507.954197,371.947878
459,Point Z,0,6,0,4507.954197,371.947878
460,Point Z,0,6,0,4507.954197,371.94755
461,Point Z,0,6,0,4507.954197,371.94755
462,Point Z,0,6,0,4507.954197,371.94755
463,Point Z,0,6,0,4507.954197,371.947222
464,Point Z,0,6,0,4507.954197,371.947222
465,Point Z,0,6,0,4507.954197,371.947222
466,Point Z,0,6,0,4507.954197,371.946894
467,Point Z,0,6,0,4507.954197,371.946894
468,Point Z,0,6,0,4507.954197,371.946894
469,Point Z,0,6,0,4507.954197,371.946565
470,Point Z,0,6,0,4507.954197,371.946565
