OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
132,Point Z,0,6,0,4507.954197,360.174279
133,Point Z,0,6,0,4507.954197,360.157547
134,Point Z,0,6,0,4507.954197,360.092258
135,Point Z,0,6,0,4507.954197,360.107022
136,Point Z,0,6,0,4507.954197,360.085369
137,Point Z,0,6,0,4507.954197,360.046655
138,Point Z,0,6,0,4507.954197,360.202823
139,Point Z,0,6,0,4507.954197,360.227757
140,Point Z,0,6,0,4507.954197,360.247114
141,Point Z,0,6,0,4507.954197,360.197901
142,Point Z,0,6,0,4507.954197,360.156563
143,Point Z,0,6,0,4507.954197,360.159516
144,Point Z,0,6,0,4507.954197,360.226116
145,Point Z,0,6,0,4507.954197,360.487599
146,Point Z,0,6,0,4507.954197,360.487927
147,Point Z,0,6,0,4507.954197,360.488255
148,Point Z,0,6,0,4507.954197,360.488583
149,Point Z,0,6,0,4507.954197,360.605381
150,Point Z,0,6,0,4507.954197,361.363909
151,Point Z,0,6,0,4507.954197,361.881625
152,Point Z,0,6,0,4507.954197,361.881625
153,Point Z,0,6,0,4507.954197,361.881625
154,Point Z,0,6,0,4507.954197,361.89967
155,Point Z,0,6,0,4507.954197,362.016467
156,Point Z,0,6,0,4507.954197,362.098488
157,Point Z,0,6,0,4507.954197,362.221847
158,Point Z,0,6,0,4507.954197,362.46955
159,Point Z,0,6,0,4507.954197,362.647043
160,Point Z,0,6,0,4507.954197,362.911479
161,Point Z,0,6,0,4507.954197,363.155901
162,Point Z,0,6,0,4507.954197,363.278276
163,Point Z,0,6,0,4507.954197,363.425585
164,Point Z,0,6,0,4507.954197,363.740217
165,Point Z,0,6,0,4507.954197,363.75334
166,Point Z,0,6,0,4507.954197,363.915413
167,Point Z,0,6,0,4507.954197,363.928537
168,Point Z,0,6,0,4507.954197,364.171647
169,Point Z,0,6,0,4507.954197,364.171647
170,Point Z,0,6,0,4507.954197,364.404258
171,Point Z,0,6,0,4507.954197,364.423287
172,Point Z,0,6,0,4507.954197,364.35931
173,Point Z,0,6,0,4507.954197,364.339953
174,Point Z,0,6,0,4507.954197,364.339953
175,Point Z,0,6,0,4507.954197,364.339953
176,Point Z,0,6,0,4507.954197,364.339953
177,Point Z,0,6,0,4507.954197,364.339953
178,Point Z,0,6,0,4507.954197,364.458063
179,Point Z,0,6,0,4507.954197,364.798942
180,Point Z,0,6,0,4507.954197,365.002026
181,Point Z,0,6,0,4507.954197,365.069939
182,Point Z,0,6,0,4507.954197,365.416395
183,Point Z,0,6,0,4507.954197,365.734964
184,Point Z,0,6,0,4507.954197,365.737588
185,Point Z,0,6,0,4507.954197,365.596513
186,Point Z,0,6,0,4507.954197,365.519413
187,Point Z,0,6,0,4507.954197,365.321907
188,Point Z,0,6,0,4507.954197,365.289098
189,Point Z,0,6,0,4507.954197,364.961999
190,Point Z,0,6,0,4507.954197,364.981356
191,Point Z,0,6,0,4507.954197,364.870464
192,Point Z,0,6,0,4507.954197,364.852091
193,Point Z,0,6,0,4507.954197,364.852091
194,Point Z,0,6,0,4507.954197,364.852091
195,Point Z,0,6,0,4507.954197,364.851763
196,Point Z,0,6,0,4507.954197,364.767446
197,Point Z,0,6,0,4507.954197,364.730701
198,Point Z,0,6,0,4507.954197,364.346843
199,Point Z,0,6,0,4507.954197,364.057146
200,Point Z,0,6,0,4507.954197,363.888839
201,Point Z,0,6,0,4507.954197,363.730703
202,Point Z,0,6,0,4507.954197,363.329785
203,Point Z,0,6,0,4507.954197,363.220205
