result_datetime,cfs
2023-01-14T00:00:00Z,100
2023-01-14T00:15:00Z,100
2023-01-14T00:30:00Z,100
2023-01-14T00:45:00Z,100
2023-01-14T01:00:00Z,100
2023-01-14T01:15:00Z,100
2023-01-14T01:30:00Z,100
2023-01-14T01:45:00Z,100
2023-01-14T02:00:00Z,100
2023-01-14T02:15:00Z,100
2023-01-14T02:30:00Z,100
2023-01-14T02:45:00Z,100
2023-01-14T03:00:00Z,100
2023-01-14T03:15:00Z,100
2023-01-14T03:30:00Z,100
2023-01-14T03:45:00Z,100
2023-01-14T04:00:00Z,100
2023-01-14T04:15:00Z,100
2023-01-14T04:30:00Z,100
2023-01-14T04:45:00Z,100
2023-01-14T05:00:00Z,100
2023-01-14T05:15:00Z,100
2023-01-14T05:30:00Z,100
2023-01-14T05:45:00Z,100
2023-01-14T06:00:00Z,100
2023-01-14T06:15:00Z,100
2023-01-14T06:30:00Z,100
2023-01-14T06:45:00Z,100
2023-01-14T07:00:00Z,100
2023-01-14T07:15:00Z,100
2023-01-14T07:30:00Z,100
2023-01-14T07:45:00Z,100
2023-01-14T08:00:00Z,100.9
2023-01-14T08:15:00Z,116.6
2023-01-14T08:30:00Z,138.3
2023-01-14T08:45:00Z,178.5
2023-01-14T09:00:00Z,237.8
2023-01-14T09:15:00Z,286.3
2023-01-14T09:30:00Z,393.6
2023-01-14T09:45:00Z,509.8
2023-01-14T10:00:00Z,621.7
2023-01-14T10:15:00Z,754.2
2023-01-14T10:30:00Z,874.2
2023-01-14T10:45:00Z,1009.6
2023-01-14T11:00:00Z,1102.9
2023-01-14T11:15:00Z,1180.3
2023-01-14T11:30:00Z,1220.2
2023-01-14T11:45:00Z,1187.5
2023-01-14T12:00:00Z,1139.6
2023-01-14T12:15:00Z,1076
2023-01-14T12:30:00Z,954.8
2023-01-14T12:45:00Z,837.1
2023-01-14T13:00:00Z,786.5
2023-01-14T13:15:00Z,706.1
2023-01-14T13:30:00Z,643.7
2023-01-14T13:45:00Z,571.2
2023-01-14T14:00:00Z,537.7
2023-01-14T14:15:00Z,502.1
2023-01-14T14:30:00Z,452.1
2023-01-14T14:45:00Z,404.8
2023-01-14T15:00:00Z,377.7
2023-01-14T15:15:00Z,357.9
2023-01-14T15:30:00Z,332.4
2023-01-14T15:45:00Z,305.7
2023-01-14T16:00:00Z,293.8
2023-01-14T16:15:00Z,285.6
2023-01-14T16:30:00Z,286.3
2023-01-14T16:45:00Z,269.3
2023-01-14T17:00:00Z,251.1
2023-01-14T17:15:00Z,230.7
2023-01-14T17:30:00Z,218.2
2023-01-14T17:45:00Z,214
2023-01-14T18:00:00Z,218.5
2023-01-14T18:15:00Z,203.3
2023-01-14T18:30:00Z,195.1
2023-01-14T18:45:00Z,196.9
2023-01-14T19:00:00Z,197.8
2023-01-14T19:15:00Z,194.8
2023-01-14T19:30:00Z,201.8
2023-01-14T19:45:00Z,213.7
2023-01-14T20:00:00Z,250.7
2023-01-14T20:15:00Z,302.5
2023-01-14T20:30:00Z,325.2
2023-01-14T20:45:00Z,331.1
2023-01-14T21:00:00Z,326
2023-01-14T21:15:00Z,325.6
2023-01-14T21:30:00Z,321.8
2023-01-14T21:45:00Z,307.8
2023-01-14T22:00:00Z,297.3
2023-01-14T22:15:00Z,286.7
2023-01-14T22:30:00Z,269.6
2023-01-14T22:45:00Z,258.3
2023-01-14T23:00:00Z,246.8
2023-01-14T23:15:00Z,237.1
2023-01-14T23:30:00Z,228
2023-01-14T23:45:00Z,218.5
2023-01-15T00:00:00Z,211.8
2023-01-15T00:15:00Z,205.8
2023-01-15T00:30:00Z,219.8
2023-01-15T00:45:00Z,263.7
2023-01-15T01:00:00Z,303.3
2023-01-15T01:15:00Z,300.9
2023-01-15T01:30:00Z,317.6
2023-01-15T01:45:00Z,383.3
2023-01-15T02:00:00Z,468.8
2023-01-15T02:15:00Z,512.7
2023-01-15T02:30:00Z,521.4
2023-01-15T02:45:00Z,510.7
2023-01-15T03:00:00Z,489.3
2023-01-15T03:15:00Z,466.1
2023-01-15T03:30:00Z,433.9
2023-01-15T03:45:00Z,415.8
2023-01-15T04:00:00Z,389.1
2023-01-15T04:15:00Z,369.7
2023-01-15T04:30:00Z,344.1
2023-01-15T04:45:00Z,319.7
2023-01-15T05:00:00Z,296.9
2023-01-15T05:15:00Z,279.4
2023-01-15T05:30:00Z,264.5
2023-01-15T05:45:00Z,249
2023-01-15T06:00:00Z,238.2
2023-01-15T06:15:00Z,226.7
2023-01-15T06:30:00Z,220.8
2023-01-15T06:45:00Z,208.9
2023-01-15T07:00:00Z,207.1
2023-01-15T07:15:00Z,197.5
2023-01-15T07:30:00Z,188.9
2023-01-15T07:45:00Z,184.8
2023-01-15T08:00:00Z,177.9
2023-01-15T08:15:00Z,175.9
2023-01-15T08:30:00Z,172.9
2023-01-15T08:45:00Z,166
2023-01-15T09:00:00Z,163.1
2023-01-15T09:15:00Z,161.5
2023-01-15T09:30:00Z,159.1
2023-01-15T09:45:00Z,156
2023-01-15T10:00:00Z,153.2
2023-01-15T10:15:00Z,151.9
2023-01-15T10:30:00Z,151.6
2023-01-15T10:45:00Z,149.9
2023-01-15T11:00:00Z,149.3
2023-01-15T11:15:00Z,149.9
2023-01-15T11:30:00Z,152.4
2023-01-15T11:45:00Z,152.9
2023-01-15T12:00:00Z,152.6
2023-01-15T12:15:00Z,150.4
