result_datetime,cfs
2023-01-01T16:45:00Z,100
2023-01-01T17:00:00Z,100
2023-01-01T17:15:00Z,100
2023-01-01T17:30:00Z,100
2023-01-01T17:45:00Z,100
2023-01-01T18:00:00Z,100
2023-01-01T18:15:00Z,100
2023-01-01T18:30:00Z,100
2023-01-01T18:45:00Z,100
2023-01-01T19:00:00Z,100
2023-01-01T19:15:00Z,100
2023-01-01T19:30:00Z,100
2023-01-01T19:45:00Z,100
2023-01-01T20:00:00Z,100
2023-01-01T20:15:00Z,100
2023-01-01T20:30:00Z,100
2023-01-01T20:45:00Z,100
2023-01-01T21:00:00Z,100
2023-01-01T21:15:00Z,100
2023-01-01T21:30:00Z,100
2023-01-01T21:45:00Z,100
2023-01-01T22:00:00Z,100
2023-01-01T22:15:00Z,100
2023-01-01T22:30:00Z,100
2023-01-01T22:45:00Z,100
2023-01-01T23:00:00Z,100
2023-01-01T23:15:00Z,100
2023-01-01T23:30:00Z,100
2023-01-01T23:45:00Z,100
2023-01-02T00:00:00Z,100
