OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
132,Point Z,0,6,0,4507.954197,362.482017
133,Point Z,0,6,0,4507.954197,362.475456
134,Point Z,0,6,0,4507.954197,362.47644
135,Point Z,0,6,0,4507.954197,362.500718
136,Point Z,0,6,0,4507.954197,362.564038
137,Point Z,0,6,0,4507.954197,362.612923
138,Point Z,0,6,0,4507.954197,362.72119
139,Point Z,0,6,0,4507.954197,362.999405
140,Point Z,0,6,0,4507.954197,363.258591
141,Point Z,0,6,0,4507.954197,363.211675
142,Point Z,0,6,0,4507.954197,363.181819
143,Point Z,0,6,0,4507.954197,363.171321
144,Point Z,0,6,0,4507.954197,363.126045
145,Point Z,0,6,0,4507.954197,363.095205
146,Point Z,0,6,0,4507.954197,363.08077
147,Point Z,0,6,0,4507.954197,363.08077
148,Point Z,0,6,0,4507.954197,363.08077
149,Point Z,0,6,0,4507.954197,363.121452
150,Point Z,0,6,0,4507.954197,363.357016
151,Point Z,0,6,0,4507.954197,363.357016
152,Point Z,0,6,0,4507.954197,363.357016
153,Point Z,0,6,0,4507.954197,363.357016
154,Point Z,0,6,0,4507.954197,363.339627
155,Point Z,0,6,0,4507.954197,363.21758
156,Point Z,0,6,0,4507.954197,363.081754
157,Point Z,0,6,0,4507.954197,363.012528
158,Point Z,0,6,0,4507.954197,362.953473
159,Point Z,0,6,0,4507.954197,362.675587
160,Point Z,0,6,0,4507.954197,362.391138
161,Point Z,0,6,0,4507.954197,362.349144
162,Point Z,0,6,0,4507.954197,362.360955
163,Point Z,0,6,0,4507.954197,362.462332
164,Point Z,0,6,0,4507.954197,362.597503
165,Point Z,0,6,0,4507.954197,362.691663
166,Point Z,0,6,0,4507.954197,362.670665
167,Point Z,0,6,0,4507.954197,362.842253
168,Point Z,0,6,0,4507.954197,362.985297
169,Point Z,0,6,0,4507.954197,362.689694
170,Point Z,0,6,0,4507.954197,362.863906
171,Point Z,0,6,0,4507.954197,362.983329
172,Point Z,0,6,0,4507.954197,362.838644
173,Point Z,0,6,0,4507.954197,363.019418
174,Point Z,0,6,0,4507.954197,363.01909
175,Point Z,0,6,0,4507.954197,362.783854
176,Point Z,0,6,0,4507.954197,362.473815
177,Point Z,0,6,0,4507.954197,362.406558
178,Point Z,0,6,0,4507.954197,362.010562
179,Point Z,0,6,0,4507.954197,361.720536
180,Point Z,0,6,0,4507.954197,361.426901
181,Point Z,0,6,0,4507.954197,361.495799
182,Point Z,0,6,0,4507.954197,361.566337
183,Point Z,0,6,0,4507.954197,361.566337
184,Point Z,0,6,0,4507.954197,361.566337
185,Point Z,0,6,0,4507.954197,361.566337
186,Point Z,0,6,0,4507.954197,361.537137
187,Point Z,0,6,0,4507.954197,361.424277
188,Point Z,0,6,0,4507.954197,361.557479
189,Point Z,0,6,0,4507.954197,361.743502
190,Point Z,0,6,0,4507.954197,361.764827
191,Point Z,0,6,0,4507.954197,361.887859
192,Point Z,0,6,0,4507.954197,362.059774
193,Point Z,0,6,0,4507.954197,362.185102
194,Point Z,0,6,0,4507.954197,362.114236
195,Point Z,0,6,0,4507.954197,362.056493
196,Point Z,0,6,0,4507.954197,362.02795
197,Point Z,0,6,0,4507.954197,361.818961
198,Point Z,0,6,0,4507.954197,361.790418
199,Point Z,0,6,0,4507.954197,361.778607
200,Point Z,0,6,0,4507.954197,361.849145
201,Point Z,0,6,0,4507.954197,361.981362
202,Point Z,0,6,0,4507.954197,362.134905
203,Point Z,0,6,0,4507.954197,362.49022
204,Point Z,0,6,0,4507.954197,362.368173
205,Point Z,0,6,0,4507.954197,362.336348
206,Point Z,0,6,0,4507.954197,362.208396
207,Point Z,0,6,0,4507.954197,362.100785
208,Point Z,0,6,0,4507.954197,361.962005
209,Point Z,0,6,0,4507.954197,361.993829
210,Point Z,0,6,0,4507.954197,361.993829
211,Point Z,0,6,0,4507.954197,361.994158
212,Point Z,0,6,0,4507.954197,362.002688
213,Point Z,0,6,0,4507.954197,362.016795
214,Point Z,0,6,0,4507.954197,362.203475
215,Point Z,0,6,0,4507.954197,362.409511
216,Point Z,0,6,0,4507.954197,362.451834
217,Point Z,0,6,0,4507.954197,362.523356
218,Point Z,0,6,0,4507.954197,362.56896
219,Point Z,0,6,0,4507.954197,362.591269
220,Point Z,0,6,0,4507.954197,362.597831
221,Point Z,0,6,0,4507.954197,362.533527
222,Point Z,0,6,0,4507.954197,362.6185
223,Point Z,0,6,0,4507.954197,362.738579
224,Point Z,0,6,0,4507.954197,362.852752
225,Point Z,0,6,0,4507.954197,362.675259
226,Point Z,0,6,0,4507.954197,362.614235
227,Point Z,0,6,0,4507.954197,362.614563
228,Point Z,0,6,0,4507.954197,362.68707
229,Point Z,0,6,0,4507.954197,362.72972
230,Point Z,0,6,0,4507.954197,362.606033
231,Point Z,0,6,0,4507.954197,362.479393
232,Point Z,0,6,0,4507.954197,362.517122
233,Point Z,0,6,0,4507.954197,362.446584
234,Point Z,0,6,0,4507.954197,362.373422
235,Point Z,0,6,0,4507.954197,362.499406
236,Point Z,0,6,0,4507.954197,362.611938
237,Point Z,0,6,0,4507.954197,362.51745
238,Point Z,0,6,0,4507.954197,362.45085
239,Point Z,0,6,0,4507.954197,362.308461
240,Point Z,0,6,0,4507.954197,362.286808
241,Point Z,0,6,0,4507.954197,362.397372
242,Point Z,0,6,0,4507.954197,362.39606
243,Point Z,0,6,0,4507.954197,362.335364
244,Point Z,0,6,0,4507.954197,362.287792
245,Point Z,0,6,0,4507.954197,362.192648
246,Point Z,0,6,0,4507.954197,361.953147
247,Point Z,0,6,0,4507.954197,361.825851
248,Point Z,0,6,0,4507.954197,361.926572
249,Point Z,0,6,0,4507.954197,362.159183
250,Point Z,0,6,0,4507.954197,362.161152
251,Point Z,0,6,0,4507.954197,362.221519
252,Point Z,0,6,0,4507.954197,362.198225
253,Point Z,0,6,0,4507.954197,362.068632
254,Point Z,0,6,0,4507.954197,362.169026
255,Point Z,0,6,0,4507.954197,362.293041
256,Point Z,0,6,0,4507.954197,362.446256
257,Point Z,0,6,0,4507.954197,362.495141
258,Point Z,0,6,0,4507.954197,362.397044
259,Point Z,0,6,0,4507.954197,362.407214
260,Point Z,0,6,0,4507.954197,362.383264
261,Point Z,0,6,0,4507.954197,362.281559
262,Point Z,0,6,0,4507.954197,362.338645
263,Point Z,0,6,0,4507.954197,362.320272
264,Point Z,0,6,0,4507.954197,362.270732
265,Point Z,0,6,0,4507.954197,362.352425
266,Point Z,0,6,0,4507.954197,362.479393
267,Point Z,0,6,0,4507.954197,362.498094
268,Point Z,0,6,0,4507.954197,362.498094
269,Point Z,0,6,0,4507.954197,362.498094
270,Point Z,0,6,0,4507.954197,362.498094
271,Point Z,0,6,0,4507.954197,362.498094
272,Point Z,0,6,0,4507.954197,362.498094
273,Point Z,0,6,0,4507.954197,362.630967
274,Point Z,0,6,0,4507.954197,362.731361
275,Point Z,0,6,0,4507.954197,362.731361
276,Point Z,0,6,0,4507.954197,362.960035
277,Point Z,0,6,0,4507.954197,363.786805
278,Point Z,0,6,0,4507.954197,363.812067
279,Point Z,0,6,0,4507.954197,363.529916
280,Point Z,0,6,0,4507.954197,363.354391
281,Point Z,0,6,0,4507.954197,363.20905
282,Point Z,0,6,0,4507.954197,362.982016
283,Point Z,0,6,0,4507.954197,362.663448
284,Point Z,0,6,0,4507.954197,362.347503
285,Point Z,0,6,0,4507.954197,362.180509
286,Point Z,0,6,0,4507.954197,362.13589
287,Point Z,0,6,0,4507.954197,362.13589
288,Point Z,0,6,0,4507.954197,362.13589
289,Point Z,0,6,0,4507.954197,362.13589
290,Point Z,0,6,0,4507.954197,362.13589
291,Point Z,0,6,0,4507.954197,362.13589
292,Point Z,0,6,0,4507.954197,362.13589
293,Point Z,0,6,0,4507.954197,362.13589
294,Point Z,0,6,0,4507.954197,362.295994
295,Point Z,0,6,0,4507.954197,362.169682
296,Point Z,0,6,0,4507.954197,361.937399
297,Point Z,0,6,0,4507.954197,361.68215
298,Point Z,0,6,0,4507.954197,361.559775
299,Point Z,0,6,0,4507.954197,361.331101
300,Point Z,0,6,0,4507.954197,361.030577
301,Point Z,0,6,0,4507.954197,360.665748
302,Point Z,0,6,0,4507.954197,360.511549
303,Point Z,0,6,0,4507.954197,360.436746
304,Point Z,0,6,0,4507.954197,360.434777
305,Point Z,0,6,0,4507.954197,360.434777
306,Point Z,0,6,0,4507.954197,360.447573
307,Point Z,0,6,0,4507.954197,360.491864
308,Point Z,0,6,0,4507.954197,360.295342
309,Point Z,0,6,0,4507.954197,360.206103
310,Point Z,0,6,0,4507.954197,360.178872
311,Point Z,0,6,0,4507.954197,360.201838
312,Point Z,0,6,0,4507.954197,360.156563
313,Point Z,0,6,0,4507.954197,360.038125
314,Point Z,0,6,0,4507.954197,359.9397
315,Point Z,0,6,0,4507.954197,359.752364
316,Point Z,0,6,0,4507.954197,359.551905
317,Point Z,0,6,0,4507.954197,359.365554
318,Point Z,0,6,0,4507.954197,359.220541
319,Point Z,0,6,0,4507.954197,359.190357
320,Point Z,0,6,0,4507.954197,359.322575
321,Point Z,0,6,0,4507.954197,359.379661
